# peacockdb cost-model calibration record. One row per CALL — per
# (plan node, recipe step, call index), not per node and not per output partition: one
#   plan node publishes several recipe steps, and a batched run drives each of them once
#   per batch per lane. A call answering with several output partitions is still ONE row;
#   its cost is the sum over its regions, because the shared prologue is charged to p0.
# A benchmark executes its plan several times and writes EVERY measured execution, in
#   the order they ran; the .benchmark.txt beside it reports one chosen run instead. So
#   the same (query, mode, node_seq, recipe_seq, call_index) recurs once per execution,
#   told apart by run_index. Spread across executions is data.
# ONE FILE IS ONE RUN. The `# run:` lines below hold what is constant across it, and
#   each of them changes what the microseconds MEAN — so appending a run that disagrees
#   with them is refused rather than merged.
# mode = the batch-partitioned planning mode, `bp-tp4-sized` and the like. The same query
#   at two modes is a different plan and a different set of calls.
# node_seq = the node's position in the TREE, post-order — the same space recipe_seq is
#   in. The driver numbers nodes pre-order, so this is a translation and not the index a
#   report is walked by.
# lane = the lane the node was DRIVEN on. A scatter is driven on one and emits into four,
#   a cross-lane accumulator the other way round; a call belongs to the driving one.
# recipe_seq = the seq the call addressed in the FlatBuffers plan. Deliberately a different
#   index from node_seq: one plan node with two calls is one tree position and two fb ones.
# recipe_kind = the fb node kind the call addressed, `CudfAggregate{Partial}` and the
#   like. Redundant with recipe_seq given the plan, and written anyway so a row is
#   readable without one.
# call_index = which call of this recipe_seq the session had reached, 0 for the first.
#   The number C++ counts to independently, and the key the two halves of a measurement
#   meet on.
# run_index = which execution of the case, 0 for the first MEASURED one — the warm-up is
#   not written. Derivable from a repeat of call_index 0 and written anyway, so that a
#   file joined against this one (hbm.tsv) names the same execution by the same number
#   rather than by its own count of the same boundary.
# out_rows/out_bytes = what the call answered with, summed over its output partitions.
#   Both come from the device's region: a call in the middle of a node's chain hands the
#   raw handle on, so this side never built a batch from it and never priced it.
# in_rows/in_bytes = what the CALLER handed over, summed over the call's input slots.
#   Empty where the input was the previous call's output: nothing on this side priced it,
#   and that call's own out_bytes is the figure.
# peacock_host_us = host time before the region's first device touch — the prologue only
#   peacockdb pays.
# cudf_host_us = host time from that touch to the end of the region. NOT launch cost:
#   cuDF and rmm synchronize internally, so it follows device_us closely.
# device_us = between the region's CUDA events, on the one stream everything is issued
#   to. An interval of that stream, not a figure for the device as a whole.
# hbm_bytes is NOT here: it comes from Nsight and joins on the same tuple.
# run: timing_mode=events
# run: build_profile=benchmarks opt-level=3
# run: allocator=rmm-pool initial=118.3GiB max=132.2GiB of 139.2GiB free on a discrete device
dataset	sf	query	mode	node_seq	node_type	lane	recipe_seq	recipe_kind	call_index	run_index	in_rows	in_bytes	out_rows	out_bytes	peacock_host_us	cudf_host_us	device_us
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	0	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	0	1	17	1	17	0	15	14
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	0	1		1	17	0	281	280
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	0	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	0	4526	145964	1	17	0	584	582
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	0	5162405	291265014	4526	145964	2	5958	5838
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	0	19343	682010	19343	682010	0	187	185
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	0	8000000	288601447	19343	682010	3	8346	8345
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	0	0	0	8000000	288601447	2	45301	45299
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	0	240012290	19449460578	5143062	290583004	3	58781	58912
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	0	0	0	240012290	19449460578	4	625105	625106
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	1	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	1	1	17	1	17	0	17	16
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	1	1		1	17	0	264	263
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	1	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	1	4526	145964	1	17	0	577	576
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	1	5162405	291265014	4526	145964	1	5827	5709
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	1	19343	682010	19343	682010	0	180	179
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	1	8000000	288601447	19343	682010	2	8311	8310
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	1	0	0	8000000	288601447	2	45215	45210
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	1	240012290	19449460578	5143062	290583004	2	58811	58941
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	1	0	0	240012290	19449460578	3	611805	611805
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	2	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	2	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	2	1		1	17	0	273	272
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	2	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	2	4526	145964	1	17	1	571	569
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	2	5162405	291265014	4526	145964	1	5853	5734
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	2	19343	682010	19343	682010	0	185	184
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	2	8000000	288601447	19343	682010	2	8300	8299
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	2	0	0	8000000	288601447	2	45058	45056
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	2	240012290	19449460578	5143062	290583004	3	58843	58975
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	2	0	0	240012290	19449460578	3	610738	610739
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	3	1	17	1	17	0	11	9
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	3	1	17	1	17	0	13	12
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	3	1		1	17	0	271	270
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	3	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	3	4526	145964	1	17	1	600	599
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	3	5162405	291265014	4526	145964	1	5835	5718
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	3	19343	682010	19343	682010	0	185	184
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	3	8000000	288601447	19343	682010	2	8319	8318
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	3	0	0	8000000	288601447	2	45029	45027
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	3	240012290	19449460578	5143062	290583004	3	58807	58937
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	3	0	0	240012290	19449460578	3	611503	611503
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	4	1	17	1	17	0	10	9
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	4	1	17	1	17	0	14	13
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	4	1		1	17	0	275	274
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	4	1	17	1	17	0	13	12
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	4	4526	145964	1	17	1	599	598
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	4	5162405	291265014	4526	145964	2	5895	5781
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	4	19343	682010	19343	682010	0	184	183
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	4	8000000	288601447	19343	682010	2	8340	8338
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	4	0	0	8000000	288601447	3	45085	45083
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	4	240012290	19449460578	5143062	290583004	4	58858	58987
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	4	0	0	240012290	19449460578	4	616384	616384
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	5	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	5	1	17	1	17	0	16	15
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	5	1		1	17	0	264	263
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	5	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	5	4526	145964	1	17	1	591	589
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	5	5162405	291265014	4526	145964	2	5855	5739
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	5	19343	682010	19343	682010	0	188	187
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	5	8000000	288601447	19343	682010	3	8341	8340
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	5	0	0	8000000	288601447	3	45338	45336
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	5	240012290	19449460578	5143062	290583004	5	58846	58976
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	5	0	0	240012290	19449460578	4	617017	617018
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	6	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	6	1	17	1	17	0	14	13
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	6	1		1	17	0	273	272
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	6	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	6	4526	145964	1	17	1	595	594
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	6	5162405	291265014	4526	145964	2	5855	5739
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	6	19343	682010	19343	682010	0	186	185
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	6	8000000	288601447	19343	682010	2	8344	8343
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	6	0	0	8000000	288601447	3	45316	45314
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	6	240012290	19449460578	5143062	290583004	4	58797	58925
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	6	0	0	240012290	19449460578	4	617160	617160
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	7	1	17	1	17	0	10	9
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	7	1	17	1	17	0	13	13
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	7	1		1	17	0	267	266
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	7	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	7	4526	145964	1	17	1	604	603
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	7	5162405	291265014	4526	145964	2	5953	5839
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	7	19343	682010	19343	682010	0	185	183
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	7	8000000	288601447	19343	682010	2	8346	8345
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	7	0	0	8000000	288601447	2	45188	45186
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	7	240012290	19449460578	5143062	290583004	4	58856	58984
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	7	0	0	240012290	19449460578	3	615301	615302
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	8	1	17	1	17	0	10	9
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	8	1	17	1	17	0	15	14
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	8	1		1	17	0	276	275
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	8	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	8	4526	145964	1	17	1	632	631
