# peacockdb cost-model calibration record. One row per CALL — per
# (plan node, recipe step, call index), not per node and not per output partition: one
#   plan node publishes several recipe steps, and a batched run drives each of them once
#   per batch per lane. A call answering with several output partitions is still ONE row;
#   its cost is the sum over its regions, because the shared prologue is charged to p0.
# A benchmark executes its plan several times and writes EVERY measured execution, in
#   the order they ran; the .benchmark.txt beside it reports one chosen run instead. So
#   the same (query, mode, node_seq, recipe_seq, call_index) recurs once per execution,
#   told apart by run_index. Spread across executions is data.
# ONE FILE IS ONE RUN. The `# run:` lines below hold what is constant across it, and
#   each of them changes what the microseconds MEAN — so appending a run that disagrees
#   with them is refused rather than merged.
# mode = the batch-partitioned planning mode, `bp-tp4-sized` and the like. The same query
#   at two modes is a different plan and a different set of calls.
# node_seq = the node's position in the TREE, post-order — the same space recipe_seq is
#   in. The driver numbers nodes pre-order, so this is a translation and not the index a
#   report is walked by.
# lane = the lane the node was DRIVEN on. A scatter is driven on one and emits into four,
#   a cross-lane accumulator the other way round; a call belongs to the driving one.
# recipe_seq = the seq the call addressed in the FlatBuffers plan. Deliberately a different
#   index from node_seq: one plan node with two calls is one tree position and two fb ones.
# recipe_kind = the fb node kind the call addressed, `CudfAggregate{Partial}` and the
#   like. Redundant with recipe_seq given the plan, and written anyway so a row is
#   readable without one.
# call_index = which call of this recipe_seq the session had reached, 0 for the first.
#   The number C++ counts to independently, and the key the two halves of a measurement
#   meet on.
# run_index = which execution of the case, 0 for the first MEASURED one — the warm-up is
#   not written. Derivable from a repeat of call_index 0 and written anyway, so that a
#   file joined against this one (hbm.tsv) names the same execution by the same number
#   rather than by its own count of the same boundary.
# out_rows/out_bytes = what the call answered with, summed over its output partitions.
#   Both come from the device's region: a call in the middle of a node's chain hands the
#   raw handle on, so this side never built a batch from it and never priced it.
# in_rows/in_bytes = what the CALLER handed over, summed over the call's input slots.
#   Empty where the input was the previous call's output: nothing on this side priced it,
#   and that call's own out_bytes is the figure.
# peacock_host_us = host time before the region's first device touch — the prologue only
#   peacockdb pays.
# cudf_host_us = host time from that touch to the end of the region. NOT launch cost:
#   cuDF and rmm synchronize internally, so it follows device_us closely.
# device_us = between the region's CUDA events, on the one stream everything is issued
#   to. An interval of that stream, not a figure for the device as a whole.
# hbm_bytes is NOT here: it comes from Nsight and joins on the same tuple.
# run: timing_mode=events
# run: build_profile=benchmarks opt-level=3
# run: allocator=rmm-pool initial=118.3GiB max=132.2GiB of 139.2GiB free on a discrete device
dataset	sf	query	mode	node_seq	node_type	lane	recipe_seq	recipe_kind	call_index	run_index	in_rows	in_bytes	out_rows	out_bytes	peacock_host_us	cudf_host_us	device_us
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	0	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	0	1	17	1	17	0	15	14
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	0	1		1	17	0	283	282
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	0	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	0	4526	145964	1	17	1	590	589
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	0	5162405	291265014	4526	145964	2	5969	5849
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	0	19343	682010	19343	682010	0	184	183
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	0	8000000	288601447	19343	682010	2	8342	8341
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	0	0	0	8000000	288601447	2	45478	45475
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	0	240012290	19449460578	5143062	290583004	4	58832	58965
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	0	0	0	240012290	19449460578	4	626658	626658
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	1	1	17	1	17	0	10	9
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	1	1	17	1	17	0	13	12
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	1	1		1	17	0	275	273
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	1	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	1	4526	145964	1	17	2	581	579
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	1	5162405	291265014	4526	145964	2	5818	5700
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	1	19343	682010	19343	682010	0	183	182
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	1	8000000	288601447	19343	682010	3	8380	8378
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	1	0	0	8000000	288601447	2	45337	45331
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	1	240012290	19449460578	5143062	290583004	4	58847	58978
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	1	0	0	240012290	19449460578	4	615538	615537
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	2	1	17	1	17	0	10	9
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	2	1	17	1	17	0	14	13
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	2	1		1	17	0	283	282
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	2	1	17	1	17	0	14	13
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	2	4526	145964	1	17	1	607	606
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	2	5162405	291265014	4526	145964	2	5888	5781
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	2	19343	682010	19343	682010	0	184	183
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	2	8000000	288601447	19343	682010	2	8336	8335
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	2	0	0	8000000	288601447	2	45138	45136
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	2	240012290	19449460578	5143062	290583004	5	59010	59139
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	2	0	0	240012290	19449460578	4	614612	614611
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	3	1	17	1	17	0	10	9
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	3	1	17	1	17	0	12	12
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	3	1		1	17	0	287	286
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	3	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	3	4526	145964	1	17	1	581	580
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	3	5162405	291265014	4526	145964	2	5858	5740
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	3	19343	682010	19343	682010	0	185	183
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	3	8000000	288601447	19343	682010	3	8336	8335
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	3	0	0	8000000	288601447	2	45293	45290
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	3	240012290	19449460578	5143062	290583004	4	58842	58972
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	3	0	0	240012290	19449460578	3	611585	611585
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	4	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	4	1	17	1	17	0	12	12
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	4	1		1	17	0	264	262
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	4	1	17	1	17	0	13	12
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	4	4526	145964	1	17	2	584	583
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	4	5162405	291265014	4526	145964	2	5923	5805
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	4	19343	682010	19343	682010	0	190	189
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	4	8000000	288601447	19343	682010	2	8349	8348
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	4	0	0	8000000	288601447	2	45069	45067
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	4	240012290	19449460578	5143062	290583004	5	58859	58991
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	4	0	0	240012290	19449460578	3	611748	611749
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	5	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	5	1	17	1	17	0	14	14
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	5	1		1	17	0	275	273
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	5	1	17	1	17	0	12	11
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	5	4526	145964	1	17	2	582	580
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	5	5162405	291265014	4526	145964	2	5835	5713
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	5	19343	682010	19343	682010	0	180	179
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	5	8000000	288601447	19343	682010	2	8315	8313
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	5	0	0	8000000	288601447	2	45155	45152
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	5	240012290	19449460578	5143062	290583004	4	58847	58982
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	5	0	0	240012290	19449460578	4	610720	610720
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	6	1	17	1	17	0	11	10
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	6	1	17	1	17	0	12	11
